variant,population,condition,higher,lower,margin,passed,label
fc01,full,claude-fable-5-1 rank=1,claude-fable-5-1,gpt-6-astra,0.8525781504956171,True,Fable 5.1 第一
fc01,full,gpt-6-astra rank=2,gpt-6-astra,claude-fable-5,1.0581990297228359,True,GPT-6 Astra 第二
fc01,full,kimi-k3 > gemini-3-8-flash,kimi-k3,gemini-3-8-flash,0.1299810000000008,True,Kimi K3 高于 Gemini 3.8 Flash
fc01,full,gpt-5-5 > muse-spark-1-3,gpt-5-5,muse-spark-1-3,0.14327449999999686,True,GPT-5.5 高于 Muse Spark 1.3
fc01,full,qwen3-8-max > qwen3-8-flash-next,qwen3-8-max,qwen3-8-flash-next,3.615783389787701,True,Qwen3.8 Max 高于 Qwen3.8 Flash-Next
fc01,full,qwen3-8-2-4t-a95b > qwen3-8-flash-next,qwen3-8-2-4t-a95b,qwen3-8-flash-next,1.4053559484231286,True,Qwen3.8 2.4T A95B 高于 Qwen3.8 Flash-Next
fc01,full,gpt-5-6-sol > claude-opus-5,gpt-5-6-sol,claude-opus-5,0.2268897717152285,True,GPT-5.6 Sol 高于 Claude Opus 5
fc01,full,gpt-5-6-terra > muse-spark-1-3,gpt-5-6-terra,muse-spark-1-3,0.4298184999999961,True,GPT-5.6 Terra 高于 Muse Spark 1.3
fc01,full,grok-4-6-xhigh > grok-4-5,grok-4-6-xhigh,grok-4-5,0.14088900000000848,True,Grok 4.6 高于 Grok 4.5
fc01,common,claude-fable-5-1 rank=1,claude-fable-5-1,gpt-6-astra,0.8525781504956171,True,Fable 5.1 第一
fc01,common,gpt-6-astra rank=2,gpt-6-astra,claude-fable-5,1.0581990297228359,True,GPT-6 Astra 第二
fc01,common,kimi-k3 > gemini-3-8-flash,kimi-k3,gemini-3-8-flash,0.1299810000000008,True,Kimi K3 高于 Gemini 3.8 Flash
fc01,common,gpt-5-5 > muse-spark-1-3,gpt-5-5,muse-spark-1-3,0.14327449999999686,True,GPT-5.5 高于 Muse Spark 1.3
fc01,common,qwen3-8-max > qwen3-8-flash-next,qwen3-8-max,qwen3-8-flash-next,3.615783389787701,True,Qwen3.8 Max 高于 Qwen3.8 Flash-Next
fc01,common,qwen3-8-2-4t-a95b > qwen3-8-flash-next,qwen3-8-2-4t-a95b,qwen3-8-flash-next,1.4053559484231286,True,Qwen3.8 2.4T A95B 高于 Qwen3.8 Flash-Next
