slug,model,missing_core_count,missing_core_items,empty_boards,reason
claude-opus-4-6-adaptive,Claude Opus 4.6 (max),4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
qwen-2-5-max,Qwen2.5 Max,8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
qwen3-6-max,Qwen3.6 Max Preview,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
qwen3-max,Qwen3 Max,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gpt-5-2,GPT-5.2 (xhigh),4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gpt-5-2-codex,GPT-5.2 Codex (xhigh),4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gpt-5-3-codex,GPT-5.3 Codex (xhigh),4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gpt-5-4-pro,GPT-5.4 Pro (xhigh),9,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gpt-5-5-pro,GPT-5.5 Pro (xhigh),9,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gemini-3-pro,Gemini 3 Pro Preview (high),4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
