slug,model,missing_core_count,missing_core_items,empty_boards,reason
qwen-2-5-max,Qwen2.5 Max,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gpt-5-4-pro,GPT-5.4 Pro (xhigh),9,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gpt-5-5-pro,GPT-5.5 Pro (xhigh),9,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
QwQ-32B-Preview,QwQ 32B-Preview,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
apriel-v1-6-15b-thinker,Apriel-v1.6-15B-Thinker,4,SciCode; τ³-Banking; AA-LCR v1.1; GDP.pdf,instruction-context,board_missing_both; missing_at_least_four
arctic-instruct,Arctic,10,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
claude-2,Claude 2.0,9,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_both; missing_at_least_four
claude-21,Claude 2.1,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
claude-3-7-sonnet-thinking,Claude 3.7 Sonnet,4,SciCode; τ³-Banking; AA-LCR v1.1; GDP.pdf,instruction-context,board_missing_both; missing_at_least_four
claude-3-opus,Claude 3 Opus,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
claude-3-sonnet,Claude 3 Sonnet,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
